Question,A,B,C,D,Answer,Explanation,Topic
Where do the embryonated eggs of Ascaris hatch out in the animal?,Heart,Brain,Kidney,Intestine,D,The embryonated eggs of,Biology
Which of the following is not caused by the movement of larvae through the body of animal?,Diarrhoea,Anaemia,Typhoid,Constipation,C,"During the movement of the larvae through the body of the animal, Ascaris damages various body parts and causes permanent injury. In the intestine, adults rob the animal of nutrition causing constipation, diarrhoea, weakness and anaemia. They may at times block the intestine which causes the death of the animal.",Biology
Coccidiosis is an infection of _______,Brain,Intestine,Eyes,Tongue,B,Coccidiosis is an intestinal infection of animals caused by a group of protozoa called coccidia. The disease occasionally occurs in human beings where it is due to protozoan,Biology
Which of the following is not a physiological change that occurs in the body of animals suffering from Coccidiosis?,Erosion of intestinal mucosa,Intestinal haemorrhage,Dysentery,Brain stroke,D,"In domesticated animals, coccidiosis is associated with protozoans",Biology
Tick fever is also known as _________,Fascioliasis,Ascariasis,Babesiosis,Coccidiosis,C,Tick fever is also known as Babesiosis. Ticks are blood-sucking ectoparasites of cattle and other domesticated animals. The infectious agent or pathogen is protozoan,Biology
Which of the following is not a symptom of Babesiosis?,Anaemia,Paralysis,Jaundice,Constipation,B,"Symptoms of Babesiosis include high but irregular fever, enlargement of lymph nodes, haemolytic anaemia, jaundice, constipation followed by diarrhoea. Infected animals are treated with an injection of trypan blue, acaprin or berenil.",Biology
Who is the father of the Green revolution in India?,M.S. Swaminathan,Charles Darwin,Herbert Boyer,Stanley Cohen,A,M.S. Swaminathan has been regarded as the father of green revolution in India. Green Revolution not only met the national requirements in food production of our country but also helped us to explore it.,Biology
Which phase is often referred to as the Green Revolution?,The Mid-1900s,The Mid-1980s,The early 2000s,The Mid-1960s,D,"The phase of the mid-1960s is often referred to as the green revolution in India. The development of several high yielding varieties of wheat and rice in the mid-1960s, as a result of various plant breeding techniques, led to a dramatic increase in food production in our country.",Biology
GDP stands for __________,General Disorder of Pancreas,Gross Domestic Product,Good Domestic Price,Goods Delay Price,B,GDP stands for Gross Domestic Product. India is mainly an agricultural country. Agriculture accounts for approximately 33 per cent of India’s GDP and employs nearly 62 per cent of the population.,Biology
Which of the following is not related to plant breeding?,Helped to increase the yield of crops,Purposeful manipulation of plant species,Gives disease-resistant plants,Not suited for cultivation,D,"Plant breeding is the purposeful manipulation of the plant species in order to create desired plant types that are better suited for cultivation, give better yields and are disease resistant. Plant breeding as technology has helped increase yields to a very large extent.",Biology
Which of the following is not involved in classical plant breeding practices?,The hybridisation of pure lines,Artificial selection of plants,Desirable traits of higher yield,Molecular biology,D,"Classical plant breeding involves crossing or hybridisation of pure lines, followed by artificial selection to produce plants with desirable traits of higher yield, nutrition and resistance to diseases. With advancements in genetics, molecular biology and tissue culture are also being carried out.",Biology
Which of the following is not a trait that should be incorporated in a crop plant?,Decreased tolerance to environmental stresses,Increased yield,Resistance to pathogens,Increased tolerance to insect pests,A,"Traits or characters that the breeders have tried to incorporate into crop plants are increased crop yield, improved quality, increased tolerance to environmental stresses (salinity, extreme temperatures, drought), resistance to pathogens (viruses, fungi and bacteria) and increased tolerance to insect pests.",Biology
Where are Plant breeding experiments generally carried out?,Colleges,Schools,Government institutions,Botanical gardens,C,"Plant breeding programmes are carried out in a systematic way worldwide in government institutions and commercial companies. With advancements in genetics, molecular biology and tissue culture, plant breeding is now increasingly being carried out by using molecular genetic tools.",Biology
Which of the following is not the main step in carrying out plant breeding technique?,Collection of variability,Cross hybridisation among the diseased parents,Selection and testing of superior recombinants,Evaluation and selection of parents,B,"The main steps in breeding a new genetic variety of a crop are-Collection of variability, Evaluation and selection of parents, cross hybridisation among the selected parents, selection and testing of superior recombinants; testing, release and commercialisation of new cultivars.",Biology
Which of the following step is the main root of any plant breeding programme?,Genetic variability,Evaluation and selection of parents,Cross hybridisation among the selected parents,Selection and testing of superior recombinants,A,"Genetic variability is the root of any breeding programme. In many crops, pre-existing genetic variability is available from wild relatives of the crop. Collection and preservation of all the different wild varieties, species and relatives of the cultivated species is a pre-requisite for effective exploitation of natural genes available in the population.",Biology
Which of the following is not included in germplasm collection?,Wild relatives,Old improved varieties,Diseased varieties,Pure lines,C,"The entire collection of plants or seeds having all the diverse alleles for all genes in a given crop is called as germplasm collection. It consists of all present-day improved varieties, old improved varieties no longer in cultivation, local varieties of all areas, pure lines maintained by plant breeders, wild relatives and related species.",Biology
___________ is the race of a species which is superior to all other existing varieties in one or more traits,Improved variety,Variety,Character,Genes,A,"Improved variety is the race of a species which is superior to all other existing varieties in one or more traits. A variety is the race of organisms of a species having the same genotype which differs from other groups of individuals of the same species in one or more traits. A trait or character is any morphological, anatomical, behavioural and biochemical feature.",Biology
